index,text,created_time
0,RT @HackedOffHugh: You’ve changed.  You used to care so much about what actors said that the paper you edited hacked Nigel Havers phone for…,2019-12-12 03:26:05
1,@SecurityWilson will not do 🤪,2019-12-12 03:26:05
2,RT @sophkiggz: HEY ANYONE WANNA FUKIKG WATCH ME HAVE A BREAKDOWN ON TWITTER reply yes or no and i'll continue,2019-12-12 03:26:05
3,RT @jstcwarrior: The way I’m feeling right now.....I need something stiff and thick https://t.co/Bj2w5VdMq4,2019-12-12 03:26:05
4,"@MichelleObama @BarackObama @girlsalliance Please stay there, sir.",2019-12-12 03:26:05
5,RT @OctopusCaveman: @katieeeeebell Not much. What’s on yours? https://t.co/DiQutTu9If,2019-12-12 03:26:05
6,RT @ErandyyLopez: I find out shit w/o even trying😭😂,2019-12-12 03:26:05
7,RT @NPR: Internal memos obtained by NPR show career staff at the Education Department recommended full debt relief for student borrowers wh…,2019-12-12 03:26:05
8,RT @ann_cannon: What do you think?? https://t.co/jEiwzcUST7,2019-12-12 03:26:05
9,RT @Shehzad_Ind: RT if you want UCC- Uniform Civil Code after  #CAB2019,2019-12-12 03:26:05
10,Skz again and again is so wholesome im loving it,2019-12-12 03:26:05
11,"@DailyCaller There isn't enough space on Twitter: Any used car dealer, the guy selling watches out of his trunk,palm-readers, Nigerian princes, the list goes on and on.",2019-12-12 03:26:05
12,@eviIboys I was about to say he wouldn’t hurt a fly but if someone hurt me then yeah he probably would put a foot up their ass,2019-12-12 03:26:05
13,"RT @weareoneEXO: EXO THE STAGE Rehearsal Behind Photos #CHANYEOL 📸 

#EXO #엑소 #weareoneEXO #EXOonearewe @exoonearewe #OBSESSION #OBSESSEDwi…",2019-12-12 03:26:05
14,“These tweets are protected” 😡,2019-12-12 03:26:05
15,RT @illasians: be wanting to punch a nigga right in his shit... “why you got me feeling like this?” 😭😭 https://t.co/FXzeAv67IG,2019-12-12 03:26:05
16,"RT @american2084: I slept poorly last night. I'm freaking out, because today Trump is signing an EO declaring Judaism to be a Nationality.…",2019-12-12 03:26:05
17,RT @WellKeptStache: Soon https://t.co/iGv492FSUX,2019-12-12 03:26:05
18,Living like this causes more pain to my family and loved ones.,2019-12-12 03:26:05
19,RT @starheal: Last Full Moon of the decade!,2019-12-12 03:26:05
20,miss my cousins already.,2019-12-12 03:26:05
21,"@politico So in a long tradition of bad Louie's from kingdoms long ago left in dust bin of history.

He breaks , or hopes to help break laws to keep the power base &amp; kingdom from falling?

Whistleblower is irrelevant now.
Accusation 100% backed by witnesses &amp; receipts.
Yay lawlessness?",2019-12-12 03:26:05
22,"@YesiKenn Most definitely. Do your own due diligence with everything. If you really start to go down the rabbit hole of black history. You’ll see all that they’ve never told us. You’ll start to ask why, what’s the purpose? As you said especially all the parts that’s American history.",2019-12-12 03:26:05
23,"RT @georgiou_nicos: My precious willow🐱and  I, 
we have a Birthday message
for you @PPourgourides
May you have a joyous Birthday
filled wit…",2019-12-12 03:26:05
24,Do i start Wilson or Rodgers? Should I put Kirk in for bell? Move Bell to RB and take out hunt? Help my team is too good. https://t.co/KJWPBnSjHi,2019-12-12 03:26:05
25,@Osnapitziivan Where,2019-12-12 03:26:05
26,"It’s the season of HOPE. At Two Wings, we are steadfast in our hope for a brighter tomorrow - one that empowers survivors of trafficking &amp; one where slavery is eradicated! ✨ https://t.co/hs7xJMaRRV",2019-12-12 03:26:05
27,"RT @WorldSikhOrg: Guntaas Kaur (@guntaas_kaur), our VP of BC, spoke at Vancouver City Hall in support of a motion opposing Bill 21. 

Vanco…",2019-12-12 03:26:05
28,"RT @BernieSanders: When young people say they want to go to college without taking on mountains of debt, we must listen.

When young people…",2019-12-12 03:26:05
29,"@TitaniaMcGrath Isn’t it typical that he chose the pronouns of the patriarchy, and he is not even ashamed.",2019-12-12 03:26:05
30,RT @BonginoReport: @DRUDGE_REPORT @Rasmussen_Poll Do you also plan on deleting this tweet after it gets inevitably ratioed like your last t…,2019-12-12 03:26:05
31,@thexybeatht Adventure &lt; late night caffeine rush.,2019-12-12 03:26:05
32,RT @adebola97: Peppa Pig when she found out Suzy Sheep could whistle https://t.co/ExlEXrgehX,2019-12-12 03:26:05
33,RT @joorrdyn_: finish the WHAT https://t.co/03sGZyd642,2019-12-12 03:26:05
34,"RT @TessaAkkoKin: It doesn't suck being autistic, it sucks living in a world that shits on you

It doesn't suck being trans, is sucks livin…",2019-12-12 03:26:05
35,2 weeks 💙,2019-12-12 03:26:05
36,RT @xfineassRell: She had @DaBabyDaBaby  hiding from her 😭😭😭😭 https://t.co/iS1I8mwzUW,2019-12-12 03:26:05
37,RT @acturistic: good morning to blackpink’s visual leader lead vocalist korea’s fashion face yg ceo kim jisoo only https://t.co/rmE0dL5lWo,2019-12-12 03:26:05
38,"RT @Latharajnikant: Happy Birthday to Our UNIVERSAL FAVOURITE HERO ❤️😎

One and Only Thalaivar Super Star Rajinikanth - @Rajinikanth ❤️🔥

#…",2019-12-12 03:26:05
39,@ColorsTV @Vivo_India @BeingSalmanKhan HAPPIEST BIRTHDAY SIDHARTH SHUKLA❤️  #HappyBirthdaySidharthShukla #FighterSid,2019-12-12 03:26:05
40,@ex6st i’ve never cringed more oh my god SHUT UPPPP,2019-12-12 03:26:05
41,"RT @GOT7Official: GOT7 JB x Represent Launching

2019.12.13 FRI

#GOT7 #갓세븐
#IGOT7 #아가새
#JB #제이비
#JB_Represent #jbcollection
#Represent htt…",2019-12-12 03:26:05
42,"RT @klrahul11: Propah fiyahhhh at The W 💙  
Thank you Mumbai 🙏 https://t.co/G9gpBXAEEs",2019-12-12 03:26:05
43,@cpreems29 Congrats on your well deserved first #nhl win! Well done! #gohabsgo @CanadiensMTL,2019-12-12 03:26:05
44,"RT @5REDVELVET: [INFO] #REDVELVET @RVsmtown to come back on December 23 6pm KST with repackage album #TheReVeFestivalFinale!

6 songs from…",2019-12-12 03:26:05
45,RT @Needle_of_Arya: White progressives are going to have to learn a lesson about how toxic they are to the entire liberal movement.,2019-12-12 03:26:05
46,“i do it for the gays and the heroin addicts and that’s it”,2019-12-12 03:26:05
47,"RT @bmadiba7: Apartheid Power Stations are performing better than the two new Power Stations that were built by a Democratic Government.

T…",2019-12-12 03:26:05
48,"RT @theryangeorge: Paul McCartney's ""Wonderful Christmastime"" is about friends practicing witchcraft but then someone walks in and they hav…",2019-12-12 03:26:05
49,"RT @Shehzad_Ind: Aapa, only thing dead is your hypocrisy &amp; your zameer! 

Christian,Jain, Parsi ko refuge deke Hindu Rashtra bana rahe hai?…",2019-12-12 03:26:05
50,@SolomonRDavid Everyone should hold #GarPuns in good regard,2019-12-12 03:26:05
51,The wing spot close at 12. GET ME LIT 😂,2019-12-12 03:26:05
52,"The FBI has far, far too much power to destroy lives to be given the ‘benefit of the doubt’. https://t.co/dRTZOJB3bl",2019-12-12 03:26:05
53,"RT @weareoneEXO: EXO THE STAGE Rehearsal Behind Photos #SUHO 📸 

#EXO #엑소 #weareoneEXO #EXOonearewe @exoonearewe #OBSESSION #OBSESSEDwithEX…",2019-12-12 03:26:05
54,@MyWhiteNinja_ @MfkingRasta12 @Static_Rage @ItalianOranges i hope the people are holding their elected reps and local ministers who humored or flamed this virulent bullsh*t at the time responsible. this was concern trolling that morphed into the most extreme violence. shameful.,2019-12-12 03:26:05
55,@eamsomar @nightbarbie @LeahAshe @launcelot92 @OceanOrbsRBX @CupCakeBitez @JadeIIas @KateKa22 This is very true♥️,2019-12-12 03:26:05
56,RT @SayWhenLA: IRS HQ https://t.co/3awP1e0PMm,2019-12-12 03:26:05
57,"RT @RepAndyBiggsAZ: ""No collusion.

No obstruction.

No quid pro quo.

No treason.

No bribery.

No high crimes and misdemeanors."" - @RepGr…",2019-12-12 03:26:05
58,"Hermosa Womens Multicolor Band Baguette Gemstone Rings 925 Sterling Multicolor Ring Sizes 6 to 12

https://t.co/swDvDlzqaa https://t.co/p46U0bPFG9",2019-12-12 03:26:05
59,@ssseunie MARK? gasp,2019-12-12 03:26:05
60,RT @GOPLeader: We should take Speaker Pelosi at her word when she admits that they have been plotting to impeach the president for the last…,2019-12-12 03:26:05
