index,text,created_time
0,RT @WonderWomanFilm: Check out the new character posters from #WW84 - in theaters June 5. https://t.co/O27ARDQHpA,2019-12-08 20:54:48
1,RT @LedetEllie: I can’t even begin to thank @BTS_twt enough for giving me the most amazing night of my entire life✨I will treasure these me…,2019-12-08 20:54:48
2,@TheGamingOwl Shit is so unreal,2019-12-08 20:54:48
3,"@mariasetareh Peter went to court. He told the court that Stanislaus was the owner of the land. Peter yelled at his children. 
Asked if he wanted to stay alive? Nope.
The townspeople went with Peter back to cemetery...
I like miracle stories.",2019-12-08 20:54:48
4,The magic school bus is just Astrotrain’s postwar side job.,2019-12-08 20:54:48
5,RT @r2no2: @SecPompeo Seriously?  Are the remaining Saudi military personnel that OUR military was training to fly (?!) still at large?  We…,2019-12-08 20:54:48
6,@Bombaypapi_ I stg,2019-12-08 20:54:48
7,I will be playing outlast 2 at 7:30 PM EST! Be sure to tune in!,2019-12-08 20:54:48
8,"RT @TheoLawson_SR: #WSU's fifth consecutive postseason will be spent in Phoenix at the @CheezItBowl, where the Cougars (6-6) will play #Air…",2019-12-08 20:54:48
9,Damn YNW Melly was gonna put Juice on his song Suicidal.... thats insane,2019-12-08 20:54:48
10,"RT @tashofficial1: He said ""me push me gun inna the fool mouth and make him suck eh"" nigga whhaaattt??????😂😂😂😭😂

#WorstBarsOfTheDecadeDance…",2019-12-08 20:54:48
11,@_courtlandroyal At my job too😊,2019-12-08 20:54:48
12,STRANGER IN A STRANGE LAND IS A MASTERPICE #TheEchelonCelebratesTIWX,2019-12-08 20:54:48
13,@maryfrancesness So lovely and what a great title.,2019-12-08 20:54:48
14,I need saints and bucs to win today,2019-12-08 20:54:48
15,"RT @PatriotM1A777: Justin Trudeau is a Wimp, a Worm &amp; a Loser!!!

Canada Just Lost the Equivalent of 650,000 Jobs as Trump’s Economy Roars…",2019-12-08 20:54:48
16,RT @MatthGifter: LIKE FAST FOR MONEY!,2019-12-08 20:54:48
17,@ZansetsuSamurai But it's Mihawk. How do you look at this manz and confidently kiss him?,2019-12-08 20:54:48
18,i took new screenshots so i could make this tweet again for this year and i literally took screenshots of the same 4 bowls again lmao,2019-12-08 20:54:48
19,"RT @iam_PatoK: Are you aged 18 – 35?
Do you want to join a network of changemakers to advance climate resilience in Africa &amp; the UK?
The Re…",2019-12-08 20:54:48
20,"RT @chartsbilliebr: Female artists with the most top 10 on Spotify Global this year:

#1 Ariana Grande – 11 songs
#2 Billie Eilish – 8 song…",2019-12-08 20:54:48
21,RT @ethereal_djh: @desiresdjh pHil LESTER uR a GEniUS,2019-12-08 20:54:48
22,"@ALDUB_EBLive @CedrickDC2 @Blueberries32 @BornToDare05 @schutty14 @viralara02 @SherylSergio2 @Cristin57273685 @cristin86887642 @Barbie21175878 @ALDUBQueenEos @QueenMariah28 @dramethyst02 @oliviamislos04 @weng_bautista16 @CoraMarcelo1 @regina_armario @aldubeth02 @Lala30032355 @Macdongov @DarasMina @demesa_ian @Ellen45937773 @Yayeegirl2015 @strawberrylene2 @sophia_shane2 @lace_tess @grabesila @MiakaZand @ADN_Artist @ADNFOREVER167 Picture
#ADNToLoveAndCare",2019-12-08 20:54:48
23,Got abducted last night and I still cant believe what happened 👽 thanks for taking us to another world last night and giving my homie and your biggest fan the night of his life and first time seeing you 🔥🔥 @ATLiensOfficial https://t.co/im8ErYFs3r,2019-12-08 20:54:48
24,"RT @darIingful: my favourite person: *smiles*

me: https://t.co/M2LtMfQYPn",2019-12-08 20:54:48
25,"RT @HarleyMovieNews: Margot Robbie and Gal Gadot producing the comic book movies they’re starring in, we love to see it #WW84 #BirdsOfPrey…",2019-12-08 20:54:48
26,“No matter what happens keep that motherfucker rollin” - Curtis snow. #24oe 🥳 https://t.co/pGnweUFmFn,2019-12-08 20:54:48
27,"RT @ComplexSports: 49ers broadcaster said Lamar Jackson has advantage on fakes w/ his dark skin &amp; a dark football. 

Lamar is wearing white…",2019-12-08 20:54:48
28,@yongsthot some stores i only go to like during sales and one like for one item cause pricey LMAO but marshall’s and thrift stores are my fave :’),2019-12-08 20:54:48
29,"RT @_Tina_Sh: Good stuff abt today's episode #AsimRiaz
-Sid went on to ground while answering Asim
-Promo showing Sid in secret room
-Salma…",2019-12-08 20:54:48
30,@GalaktixGG My wife watches that like crazy lol,2019-12-08 20:54:48
31,@JohnnySibilly This is a FLEX,2019-12-08 20:54:48
32,RT @barstoolsports: When the other teams plays blow out on the field you’ve gotta take advantage https://t.co/ijUrfAglnU,2019-12-08 20:54:48
33,RT @darIingful: me when i haven’t got any attention from my favourite person in 7 minutes https://t.co/Wk6R4nH0UY,2019-12-08 20:54:48
34,step 1 of getting a universal basic income would be coming up with an acronym for it that doesn't make people think of painful urination,2019-12-08 20:54:48
35,"@Than217 @nytimes Choices. People pay into medicare all of their Working Lives, then the Government charges seniors to have Medicare, then It is also necessary to purchase supplemental insurance. Yeah, lets get rid of Medicare, and the payroll deductions. Free Market.",2019-12-08 20:54:48
36,"@JohnMTalmadgeMD Awe, shoey!  *Dear life.",2019-12-08 20:54:48
37,RT @harriet_wrightx: Would be a shame if ur daughter grew up to be as unsupportive of you as u are to Caitlyn https://t.co/ybVFP2bdXk,2019-12-08 20:54:48
38,@chase_dynt @brodie_dynt @max_dynt @Dushane_DYNT @Huw_DYNT @DYNTofficial Your face in this pic is a mood😂😭,2019-12-08 20:54:48
39,"@xavierdaniel999 ？

I don't know why but …

？ https://t.co/a5O0rt2djB",2019-12-08 20:54:48
40,@Colonel45738915 Watching Saints/49ers right now. What a game!,2019-12-08 20:54:48
41,@gwsdildo u don't wanna see my answer lol,2019-12-08 20:54:48
42,RT @TeamPulte: Good Morning ☀️ Make today Amazing!,2019-12-08 20:54:48
43,RT @msdebbieallen: YES honey!!! Ms. .@JeniferLewis let em have it at last night’s @officialdadance HOT CHOCOLATE NUTCRACKER Gala!!! Love yo…,2019-12-08 20:54:48
44,"@pdemetriades @Twitter How very ""left"" of you the logic ""you have a different opinion than mine so you are a neonazi"". Who cares. Left is a very appropriate word for what you represent, especially since the world is moving forward and your kind is LEFT behind.",2019-12-08 20:54:48
45,"RT @l0vealicia: Can’t wait to be in a peaceful 🏡 alone, where nothing bothers me..",2019-12-08 20:54:48
46,Dude how in the absolute fuck is Michael Thomas open on every single play? What the hell??,2019-12-08 20:54:48
47,@CharlieWilson Amen,2019-12-08 20:54:48
48,RT @kashmirichaii: When I was in middle school this white boy had a crush on me and I kept leading him on till he apparently fell in “love”…,2019-12-08 20:54:48
49,RT @Flashyasf: Im overdue for a tattoo or two..,2019-12-08 20:54:48
50,@hildasaxe You welcome,2019-12-08 20:54:48
51,@wendyshaygh @iamcardib You always making unnecessary noise. You won’t learn how to sing “ancient of days”. You’ll come and stand there make your mouth like dust collector saying “how old are you now”. Mtsw. 😒,2019-12-08 20:54:48
52,@kelleybates22 I hope we play you I think it’s a good matchup!,2019-12-08 20:54:48
53,"RT @GOPChairwoman: This week:
 
Warren had to apologize again for lying about her heritage.
 
Buttigieg kept dodging questions about his wo…",2019-12-08 20:54:48
54,The Tops are headed to Dallas! https://t.co/RgxnVgv6XF,2019-12-08 20:54:48
55,"RT @Calistotash: Took a little while, but painted Amy Rose 3D print!

Once again, thanks to @tyson_hesse with the Sonic Mania Adventures an…",2019-12-08 20:54:48
56,@spellfoxart Thank you!,2019-12-08 20:54:48
57,@paddyraffcomedy Belfast city hall. Loadsa room. No need to thank me.,2019-12-08 20:54:48
58,@caitlinjjwebb It’s no debate at this point,2019-12-08 20:54:48
59,"I am concerned 

#Ravens | #RavensFlock",2019-12-08 20:54:48
60,@Windy_London That's the spirit 🤣,2019-12-08 20:54:48
61,"RT @SassySculptor: What the FUK will it take for America to WAKE UP🤬🤬

We’re TRAINING TERRORISTS to KILL US ... WHY⁉️

Let these Fuk’s trai…",2019-12-08 20:54:48
62,i see so much ass now ion even want none no more .... i’m good with my bones . 😂 https://t.co/Me7DOb2Jkk,2019-12-08 20:54:48
63,shouldn’t she be thankful he even choose to mention her in a show that wasn’t even about her? somebody some get they’re granny I’m weak https://t.co/hxi7vIXjru,2019-12-08 20:54:48
64,RT @Mudassi45243263: Latin American s in Solidarity With Each other  it's a Bad Day For Tankies like @MaxBlumenthal  and @BenjaminNorton…,2019-12-08 20:54:48
65,Had a wonderful afternoon at a fundraiser for an important organization today: @daughterproj_ca. I’m grateful to my friend @ChloeRoseInc for hosting 40+ women in her cozy home for a great cause. 💛,2019-12-08 20:54:48
66,@5pmEverywhere Sounds good🤣 https://t.co/vfzBfFVUu9,2019-12-08 20:54:48
67,RT @Sxd6am: Rest in Peace Juice WRLD 💔💔💔 https://t.co/G504qdLzs5,2019-12-08 20:54:48
68,RT @agraybee: Imagine the feeling of being a teenager girl and seeing the man who kidnapped and raped you becoming an edgy meme for the coo…,2019-12-08 20:54:48
69,"RT @NlCKlACCESS: Nicki Minaj toured with Juice Wrld for the  Nicki Wrld Tour &amp; he passed on her birthday 💔.

My thoughts and prayers are wi…",2019-12-08 20:54:48
70,baby 🥺 https://t.co/2CXLvOdvbW,2019-12-08 20:54:48
71,"RT @xtiann___: i need some

:¨·.·¨:        :¨·.·¨:        :¨·.·¨:       :¨·.·¨:  
 `·.. C        `·.. A         `·.. S       `·.. H https:/…",2019-12-08 20:54:48
72,RT @WonderWomanFilm: Check out the new character posters from #WW84 - in theaters June 5. https://t.co/O27ARDQHpA,2019-12-08 20:54:48
73,RT @paulsperry_: BREAKING: The Pentagon and State Department ignored security warnings and even turned down recommendations made more than…,2019-12-08 20:54:48
74,"RT @Coll3enG: i remember when my ex boyfriend and i got into an actual fight at cheesecake factory in 2016, he literally looked me in the e…",2019-12-08 20:54:48
75,@cym0rg I kinda do minus the green hair lmao,2019-12-08 20:54:48
76,this isn’t as cute as you think it is https://t.co/fRwnvyBlXt,2019-12-08 20:54:48
77,"RT @ThePopHub: ""All I Want For Christmas Is You"" by Mariah Carey is projected to rise to #3 on the Billboard Hot 100.

If it reaches #1, Ca…",2019-12-08 20:54:48
78,U.S. Soccer defends controversial hiring policy as numerous youth coaching jobs sit vacant https://t.co/uV3HLjZRA3,2019-12-08 20:54:48
79,THREE JAMEIS INTs &amp; here we are down 4 with 8:13 left,2019-12-08 20:54:48
80,RT @chalhoubmark: psa for all my arabs please watch https://t.co/svy9l6e6Ol,2019-12-08 20:54:48
81,"RT @akitiwrowro: Cardi b want tell u say wontwe , nkurasisem nkutsi, u wear wear parachute Dey go greet 😂😂😂😂 https://t.co/3YMDgxYV3B",2019-12-08 20:54:48
82,RT @soompi: #EXO's #Kai Threatens To Call Police On Sasaengs Waiting Outside Their Home During Live Broadcast https://t.co/DwhvvpFM4W https…,2019-12-08 20:54:48
83,"@MariahCarey we're kicking into high gear, dahhling! At least i
 am! #AllIWantForChristmasIsYou https://t.co/3cCMsjU4SL",2019-12-08 20:54:48
84,People joking about seizures are DISGUSTING,2019-12-08 20:54:48
85,"@FuTlurker @bateson87 Lol chill your team ain't bad I just feel cuadrado is an L. no need to get triggered, I'm a fellow arsenal fan we're all going through a bad time right now we don't need this negativity 🤣🤣🙄",2019-12-08 20:54:48
86,"RT @empressinc222: just in case:
🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿",2019-12-08 20:54:48
87,"RT @jeremycorbyn: ""One person said all these?"" https://t.co/N6nJ0NMYRA",2019-12-08 20:54:48
88,"RT @Rt_YourFavBands: My Chemical Romance
""Teenagers"" https://t.co/geOK0lv3HT",2019-12-08 20:54:48
89,I have more faith in @Cantguardmike than I do most relationships in my life 🤷🏽‍♀️ #SaintsGameday #Saints #SFvsNO,2019-12-08 20:54:48
90,RT @yuriig_: Rt if you single 🤩,2019-12-08 20:54:48
91,"RT @izukugiovanna: dudebros:part 6 is bad

me:*starts growling*

jolyne:its ok theyre just jealous babe

me:i know jolyne

hermes:*slaps my…",2019-12-08 20:54:48
92,@MickQ12 @DeanKo @EganRichardson Why not?,2019-12-08 20:54:48
93,"RT @Lupita_Nyongo: How I feel about receiving #CriticsChoice noms alongside each other! @Shahadi for Best Young Actor! ❤✨
Thank you for rec…",2019-12-08 20:54:48
94,RT @moura_233: Life is too short to wait but for you I wait😇 https://t.co/e3EKDElDQn,2019-12-08 20:54:48
95,"RT @lewisbuchan: lil peep died at 21.
 
then xxx hopped on a song with him for a tribute, then before the song was even released, xxx died…",2019-12-08 20:54:48
96,"RT @JennaEllisEsq: THREAD: So I didn’t get to finish comments w/ @edhenry today due to the breaking news, but here are the two main points:…",2019-12-08 20:54:48
97,I’m afraid you’re overestimating Nicola Sturgeons’ capabilities as she has only one policy and that is to break up the UK! She has never respected the result of the 2014 referendum and  reiterates the same jargon that most Scots are tired of hearing! We want to stay with UK! https://t.co/fQw7I5HEJH,2019-12-08 20:54:48
98,@starwarstuff @THR This sucks,2019-12-08 20:54:48
99,RT @OVargas52: CNN journalist @soyfdelrincon has arrived in Bolivia and been given a medal  by coup leader/presidential candidate Fernando…,2019-12-08 20:54:48
100,"RT @McCormickProf: If we love our country, Brother Bernie, we must love all the children of our country: girls and boys; those of every rac…",2019-12-08 20:54:48
101,Embarrassed to say I still haven’t watched The Joker,2019-12-08 20:54:48
102,RT @JuiceWorlddd: This life is yours do what tf you want do great things and change the world don’t let no one tell you SHIT.. and you’ll b…,2019-12-08 20:54:48
103,@Sugaspunsista74 @Gleese69 @blackenrho @Alan90947619 @brokenstones66 @lizzymaryjones @shiner_sam @cinnamods @marcusbella @Glenn_Martin36 @rigsby1734 @stevecradock @Mr_StevePilgrim @andyjcrofts Not a fan of rugby tops!,2019-12-08 20:54:48
104,"@montie Proud to have driven kids into poverty. Millions suffering in work poverty,explosion of food banks. One nation Tories at their best.",2019-12-08 20:54:48
105,"Fiji Cavanaugh - Midnight, Texas (portrayed by @ParisaFH) https://t.co/491mieLqyI",2019-12-08 20:54:48
106,@GodSaveDelpiero @Moradelshaf3y Doctor morad tfaseel 7yato kolha goals begad,2019-12-08 20:54:48
107,@DzyDzyDino @keldroth @KalystC @S5Flare @Rinelight @digitanalog How bout a drunken looking beer stein 🥴+ 🍺,2019-12-08 20:54:48
108,"RT @WWE: WWE has come to terms on the release of Jonathan Huber (Luke Harper).

https://t.co/IWUPvEKCnq",2019-12-08 20:54:48
109,RT @bigdvvddym: Me tweeting even tho nobody likes my shit https://t.co/nueVTjOuK4,2019-12-08 20:54:48
110,"RT @sierramoniquee: 2019 basically said:

BUT DID YOU DIE THO?😂",2019-12-08 20:54:48
111,give me buff springtrap,2019-12-08 20:54:48
112,"And 2020, please be nice to me aight?",2019-12-08 20:54:48
113,@underated54 Maybe not. I think they are switching it to Kentucky.,2019-12-08 20:54:48
114,"RT @jojoansett: Evolve. Don’t be afraid to start over again. This time, you are not starting from scratch, you are starting from experience.",2019-12-08 20:54:48
115,"RT @UNITEDWEDREAM: Today marks one year since the death of Jakelin Caal Maquin at the hands of CBP. Today we honor her, and all those decea…",2019-12-08 20:54:48
116,"Hi @NamPresidency, @tjekero thank you for committing to ratify the @ILO Convention on Violence and Harassment in the World of Work! This will help women get the legal protection at work they deserve. As a @GlblCtzn I hope to see other world leaders do the same #LeveltheLaw",2019-12-08 20:54:48
117,RT @unclevuzi: GUYS IM ON A SABC ADVERT. LOOK 😭😭😭 https://t.co/7HevMOBHAg,2019-12-08 20:54:48
118,"RT @JoelOsteen: God had to stop what was working to get you to stretch so you can see greater provision, greater fulfillment, greater favor…",2019-12-08 20:54:48
119,@crisdiaz74 @Bill_GoIrish @jeffNDfan @NDirishWonder Reason enough to go,2019-12-08 20:54:48
120,@isthismike_p Probably bdot then if I had to guess,2019-12-08 20:54:48
